Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
  240_F_72988783_T1AHgT38QpT2p      0     0.0000     0.0000
  240_F_72988845_649MKjGxPkoGq      0     0.0000     0.0000
  240_F_72988845_649MKjGxPkoGq      0     0.0000     0.0000
  240_F_72989343_lXPNBdDwSJwup      0     0.0000     0.0000
  240_F_72989343_lXPNBdDwSJwup      0     0.0000     0.0000
  240_F_94529112_BCEF0hlHJLIE5      3     0.4847     0.5030
  240_F_94529112_BCEF0hlHJLIE5      3     0.4847     0.5030
  24_jpg.rf.2gWcWxMaHxwdE7Qs1T      0     0.0000     0.0000
  24_jpg.rf.MiKXPLIHwsxbLIf3at      0     0.0000     0.0000
  24_jpg.rf.ZCU85kVLoGKXtgl8ED      0     0.0000     0.0000
  24e62273ac6dd1ea3e6a7bcb7601      0     0.0000     0.0000
  254965218_1553247338388982_7      4     0.4779     0.5091
  254faf33baab437aa42c2b6154a4      1     0.5356     0.5356
  25_jpg.rf.PJCW5bprbOhWwyOaTU      5     0.5586     0.5958
  25_jpg.rf.aDlPCJkiV3tFymMzXo      5     0.5837     0.6583
  25_jpg.rf.rmzcFzli4M2R5QwUqa      4     0.5685     0.5781
  26_jpg.rf.RyVoSXRT7aYWBdgxIc      3     0.6281     0.6785
  26_jpg.rf.yELG4VOLmix2Bstfs1      2     0.5998     0.6108
  275px-Crocus_sativus1_jpg.rf      2     0.5797     0.5856
  27_jpg.rf.9i7tRLlccM2fxGWud3      3     0.5559     0.5835
  27_jpg.rf.U1pox64unr8pP4yyvu      5     0.5662     0.5928
  28_jpg.rf.1tCy0Bzvy2JJRESN2h      1     0.5084     0.5084
  28_jpg.rf.Ef29lRND6YmpQKVyZc      2     0.5836     0.6321
  28_jpg.rf.Y2w5Y74Aw0EfEBYqnO      1     0.5807     0.5807
  2911550427_e00c9ce0bd_c_jpg.      4     0.4940     0.5356
  29_jpg.rf.3tOunvgDkvGtIBqhxg      1     0.5034     0.5034
  2_jpg.rf.IyuvSc5Cv0RPFNIQO8Q      1     0.5237     0.5237
  2ca814f18a2de238958006035887      0     0.0000     0.0000
  2d11bdac2bca6266ed62e4c39bc6      1     0.5290     0.5290
  2d9da9badd0de4573145644fa01f      0     0.0000     0.0000
  30_jpg.rf.PZXhjC9xjWuscZn1Tf     26     0.6397     0.6953
  317089179-198122522698619-44      5     0.5381     0.6217
  317322362-198122616031943-44      1     0.5196     0.5196
  317322772-198122806031924-89      4     0.5170     0.5682
  317424378-198122746031930-64      0     0.0000     0.0000
  31_jpg.rf.LXELzKtcgI0hQsfzVa      1     0.5524     0.5524
  31_jpg.rf.b79sh48ffImZWOKb6r      5     0.5678     0.5895
  31_jpg.rf.bDP2Z9cVHwjdV0648R      2     0.5503     0.5586
  32_jpg.rf.zZ3XGDoLiTUCZa8niK      6     0.5502     0.5827
  332364_jpg.rf.zSwuHwpYQKHSsi      3     0.5838     0.6348
  334_jpg.rf.zcqR5bopnmYH9dfHQ      3     0.5269     0.5953
  336340_jpg.rf.7za6wjQgnQu1ks      0     0.0000     0.0000
  33_jpg.rf.YsGF6QygJEizQdIkag     16     0.5315     0.6613
  33_jpg.rf.v4z8oEi5zim3X38NPa     14     0.5504     0.6176
  33_jpg.rf.xcUbwigKFlyO3fMO6p     12     0.5392     0.6534
  34_jpg.rf.8THughgyjkUl05OnRM      4     0.5244     0.5737
  34_jpg.rf.KTSlS68MH0yOdp1IMc     21     0.5490     0.6141
  34_jpg.rf.wVAWUqGMlUgumKgCSz     13     0.5514     0.6512
  35_jpg.rf.q3VwLt0wFjItX8cXGF     23     0.5329     0.5941
  360_F_29220899_nf4pp1QkUIzca      0     0.0000     0.0000
  360_F_300751992_QCgmM5hVlMfG      0     0.0000     0.0000
  360_F_436192908_beIjrqhLoJnY      0     0.0000     0.0000
